Sn,District,Chiefdom,Health Facility (PHU),Community / Village,School Name,School Enrollment,EMIS Number,School Status
1,KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,KABONKA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,71,2302-2-05040,Old
2,KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KASASIE (GBONKOBON KAYAKA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,167,2302-2-05034,Old
3,KOINADUGU,KALIAN,Kendeya MCHP,KENDEYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,236,2303-2-05059,Old
4,KOINADUGU,KALIAN,Kendeya MCHP,KENDEYA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,389,2303-2-05062,Old
5,KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi,KAKANU (KASUNKO KAKELLIAN),WESLEYAN PRIMARY SCHOOL KAKANU,85,2305-2-05103,Old
6,KOINADUGU,NIENI,Fankoya CHP,KOMBATAMBAIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,130,2306-2-12860,Old
7,KOINADUGU,NIENI,Fankoya CHP,DANIYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,151,2306-2-05120,Old
8,KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,220,2306-2-05143,Old
9,KOINADUGU,SENGBE,Kondeya MCHP,ISMAIA (SENGBE),ALHARRKAN ISLAMIC PRIMARY SCHOOL,200,2307-2-05167,Old
10,KOINADUGU,SENGBE,Kondeya MCHP,KONDEYA (SENGBE),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,150,2307-2-05168,Old
11,KOINADUGU,WARA WARA YAGALA,Kabala Static,1 MILE (WARA WARA YAGALA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,142,2310-2-05307,Old
12,KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA ISMAIA ROAD (WARA WARA YAGALA),"NAZARETH HOUSE APOSTOLATE PRIMARY SCHOOL, KABALA",200,2310-2-05277,Old
13,KOINADUGU,WARA WARA YAGALA,Kabala Static,KABALA (WARA WARA YAGALA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,275,2310-2-05332,Old
14,KOINADUGU,WARA WARA YAGALA,Kayakor MCHP,KAYAKOH (WARA WARA YAGALA),ROMAN CATHOLIC PRIMARY SCHOOL,173,2310-2-05297,Old
15,PORT LOKO,MARAMPA,LUNSAR CHC,LUNSAR,LUNSAR ISLAMIC ACADEMY PRIMARY SCHOOL,155,3311-2-15284,Old
16,PORT LOKO,KOYA,Makieteh CHP,MALIMBA,MALIMBA COMMUNITY PRIMARY SCHOOL/ To be cross check,190,3306-2-15271,Old
17,PORT LOKO,LOKOMASAMA,Mathen MCHP,KIGBAL (LOKOMASAMA),HAWA TRUST OPHANAGE PRIMARY SCHOOL,122,3307-2-03715,Old